映画・ドラマ,地雷フラグ,友人におすすめ,ワクワク,怖い,感動,イケメン・美人,胸キュン,爆発・暴力,あり得ない,勉強になる,悲しい,笑える,社会派,アクション,絵が美しい🥰
ビッグバンセオリー,0,9.0,7.0,0.0,1.0,7.0,8.0,0.0,0.5,5.0,0.0,10.0,6.0,0.0,2.0
ビリギャル,0,10.0,7.0,1.0,10.0,8.0,2.0,1.0,1.0,10.0,2.0,7.0,8.0,1.0,4.0
ピッチパーフェクト,0,8.0,7.0,0.0,6.0,7.0,2.0,4.0,4.0,0.0,0.0,8.0,7.0,0.0,2.0
ファンタスティックビースト,0,10.0,10.0,1.0,4.0,5.0,6.0,5.0,10.0,0.0,4.0,0.0,0.0,0.0,8.0
フォレスト・ガンプ,1,10.0,10.0,3.0,9.0,9.0,5.0,5.0,1.5,3.0,5.0,9.0,2.0,2.0,8.0
フリーバッグ,0,0.0,4.0,4.0,5.0,8.0,4.0,6.0,2.0,5.0,4.0,6.0,4.0,6.0,7.0
フレンズ,0,5.0,2.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0
ブラザーベア,0,10.0,5.0,0.0,10.0,0.0,0.0,5.0,5.0,0.0,10.0,3.0,0.0,0.0,5.0
ブラッドダイアモンド,0,8.0,6.5,7.5,9.0,7.5,3.5,9.0,3.5,8.0,8.0,0.5,9.5,8.0,5.0
ブレイブストーリー,0,10.0,10.0,7.0,10.0,8.0,2.0,10.0,8.0,7.0,9.0,4.0,0.0,9.0,8.0
プラダを着た悪魔,0,7.25,4.0,1.5,6.5,7.5,4.25,0.5,0.75,6.75,1.25,0.0,4.0,0.0,6.25
プーと大人になった僕,0,8.0,8.0,1.0,10.0,7.0,7.0,1.0,2.0,5.0,6.0,2.0,2.0,3.0,8.0
ホームアローン,0,8.0,10.0,6.0,5.0,0.0,0.0,2.0,8.0,0.0,0.0,10.0,0.0,2.0,5.0
ホーム・アローン,0,9.0,9.0,5.0,6.0,5.0,3.0,6.0,6.0,5.0,4.0,8.0,4.0,6.0,5.0
ボイス２～112の奇跡～ボイス～112の奇跡～,0,8.0,6.0,8.0,8.0,10.0,2.0,10.0,4.5,5.0,8.0,0.0,0.0,10.0,2.0
ボヘミアンラプソディ,0,8.0,6.0,4.0,9.0,5.0,4.0,5.0,2.0,6.0,8.0,5.0,7.0,4.0,9.0
ボヘミアンラプソディー,0,10.0,10.0,5.0,10.0,8.0,4.0,8.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0
ボヘミアン・ラプソディー,0,10.0,9.0,2.0,10.0,3.0,4.0,1.0,1.5,7.0,7.0,7.0,5.0,2.0,8.0
マイネームイズハーン,1,9.0,3.0,5.0,9.0,6.0,6.0,8.0,8.0,8.0,9.0,7.0,8.0,0.0,0.0
マスカレイド・ナイト,0,9.0,7.0,2.0,5.0,8.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,4.0,6.0
マスカレードホテル,1,5.0,3.0,7.0,2.0,8.0,3.0,7.0,2.0,4.0,2.0,2.0,7.0,1.0,3.0
マーズ・アタック！,1,2.0,0.0,1.0,1.0,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,6.0,2.0
ミスタービーン,0,10.0,10.0,4.0,3.0,4.0,3.0,0.0,3.0,2.0,0.0,10.0,4.0,7.0,0.0
ミスト,1,3.0,8.0,10.0,0.0,6.0,3.0,10.0,5.0,10.0,10.0,0.0,9.0,10.0,5.0
ミッションインポッシブル　フォールアウト,0,8.0,10.0,1.0,5.0,9.0,0.0,10.0,10.0,0.0,1.0,7.0,5.0,10.0,8.0
ミッドサマー,1,0.0,2.0,10.0,0.0,2.0,0.0,8.0,5.0,1.0,6.0,8.0,9.0,10.0,8.0
ミッドナイト・ランナー,0,7.0,8.0,9.0,5.0,8.0,0.0,9.0,5.0,8.0,5.0,5.0,9.0,10.0,2.0
ミュウと波動の勇者ルカリオ,1,9.0,8.0,9.0,7.0,4.0,1.0,1.0,2.0,3.0,8.0,5.0,1.0,9.0,10.0
メリーポピンズ,0,10.0,8.0,2.0,8.0,7.0,7.0,3.0,2.0,4.0,2.0,5.0,2.0,6.0,9.0
メン・イン・ブラック,0,9.0,9.0,8.0,5.0,7.0,4.0,8.0,10.0,3.0,2.0,8.0,3.0,8.0,6.0
ユリゴコロ,0,0.0,2.0,10.0,4.0,6.0,0.0,10.0,2.5,2.0,10.0,0.0,2.0,10.0,4.0
ライオン,0,7.0,3.0,7.0,8.0,3.0,0.0,6.0,0.0,8.0,8.0,3.0,8.0,4.0,2.0
ライフ・イズ・ビューティフル,0,10.0,0.0,4.0,10.0,0.0,0.0,7.0,4.0,10.0,10.0,5.0,10.0,0.0,2.0
ラブ・アクチュアリー,1,8.0,0.0,0.0,8.0,10.0,9.0,1.0,5.0,3.0,6.0,8.0,4.0,0.0,5.0
ランボーラストブラッド,1,0.0,9.0,9.0,5.0,8.0,2.0,10.0,5.0,2.0,8.0,0.0,3.0,10.0,2.5
レオン,0,8.666666666666666,8.333333333333334,3.0,9.333333333333334,10.0,3.6666666666666665,8.666666666666666,7.666666666666667,0.0,5.333333333333333,0.6666666666666666,2.6666666666666665,4.333333333333333,1.6666666666666667
レ・ミゼラブル,0,9.0,8.0,2.0,10.0,9.0,3.0,8.0,0.0,8.0,10.0,0.0,8.0,5.0,5.0
ロードオブザリング,0,10.0,10.0,0.0,10.0,3.0,3.0,1.0,5.0,5.0,10.0,6.0,3.0,10.0,10.0
ローマの休日,0,9.0,9.0,0.6666666666666666,5.0,6.0,3.6666666666666665,0.0,4.0,0.0,1.6666666666666667,2.0,0.0,4.0,10.0
ワンダー君は太陽,0,8.5,5.0,0.0,10.0,5.0,1.5,0.0,0.0,8.0,7.0,5.0,4.0,0.0,5.5
ワンピース,0,8.0,10.0,6.0,8.0,6.0,2.0,8.0,10.0,4.0,6.0,7.0,5.0,6.0,8.0
